dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
8/3/2020;3;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
2/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
1/3/2020;3;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
29/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
28/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
27/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
26/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
25/2/2020;2;Afghanistan;Asia;1;0; 64.83 ; 41128772.0 
24/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
23/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
22/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
21/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
20/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
19/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
18/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
17/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
16/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
15/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
14/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
13/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
12/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
11/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
10/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
9/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
8/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
7/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
6/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
5/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
4/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
3/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
2/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
1/2/2020;2;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
31/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
30/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
29/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
28/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
27/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
26/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
25/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
24/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
23/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
22/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
21/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
20/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
19/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
18/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
17/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
16/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
15/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
14/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
13/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
12/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
11/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
10/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
9/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
8/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
7/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
6/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
5/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
4/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
3/1/2020;1;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
2/1/2020;1;Afghanistan;Asia;0;0;;
1/1/2020;1;Afghanistan;Asia;0;0;;
31/12/2019;12;Afghanistan;Asia;0;0;;
14/12/2020;12;Albania;Europe;788;14; 78.57 ; 2842318.0 
13/12/2020;12;Albania;Europe;879;12; 78.57 ; 2842318.0 
12/12/2020;12;Albania;Europe;802;12; 78.57 ; 2842318.0 
11/12/2020;12;Albania;Europe;873;14; 78.57 ; 2842318.0 
10/12/2020;12;Albania;Europe;752;15; 78.57 ; 2842318.0 
9/12/2020;12;Albania;Europe;753;14; 78.57 ; 2842318.0 
8/12/2020;12;Albania;Europe;695;17; 78.57 ; 2842318.0 
7/12/2020;12;Albania;Europe;840;16; 78.57 ; 2842318.0 
6/12/2020;12;Albania;Europe;846;19; 78.57 ; 2842318.0 
5/12/2020;12;Albania;Europe;801;18; 78.57 ; 2842318.0 
4/12/2020;12;Albania;Europe;782;13; 78.57 ; 2842318.0 
3/12/2020;12;Albania;Europe;705;17; 78.57 ; 2842318.0 
2/12/2020;12;Albania;Europe;832;12; 78.57 ; 2842318.0 
1/12/2020;12;Albania;Europe;557;12; 78.57 ; 2842318.0 
30/11/2020;11;Albania;Europe;835;11; 78.57 ; 2842318.0 
